Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
-,Shadyferret+9636,1187.7004178831412,1,0.0,0.0%,1200,-17
-,Youdge+8117,1187.634577940179,11,2.0,18.2%,1200,+35
-,Lynxtek+4186,1187.5981974296562,1,0.0,0.0%,1200,-17
-,Gregoola+1424,1187.2762807631157,1,0.0,0.0%,1200,-17
-,Shuuhey+6535,1187.1955541165878,1,0.0,0.0%,1200,-17
-,clp10033+4124,1187.002370442691,1,0.0,0.0%,1200,-17
-,Libitina114+7177,1186.5759319707897,1,0.0,0.0%,1200,-18
-,KyloBot+6508,1186.4521121573448,1,0.0,0.0%,1200,-18
-,evancomposer+2898,1186.3708151509911,1,0.0,0.0%,1200,-18
-,oshwott2844+9258,1185.9215441330007,1,0.0,0.0%,1200,-19
-,Raineweather05+2319,1185.671415308601,1,0.0,0.0%,1200,-19
-,FelipeRocha+9451,1185.426229197815,1,0.0,0.0%,1200,-19
-,mysti+7857,1185.3123977653102,1,0.0,0.0%,1200,-19
-,mwcrabtree,1185.0695808147545,1,0.0,0.0%,1200,-19
-,tubaking+4200,1184.9453839742287,1,0.0,0.0%,1200,-20
-,Pi314+6815,1184.705527538337,2,0.0,0.0%,1200,-9
-,ThoseTeeff+4061,1184.6251303557297,1,0.0,0.0%,1200,-20
-,Nuttsy+5282,1184.5009725017178,1,0.0,0.0%,1200,-20
-,Julien+5506,1184.5009725017178,1,0.0,0.0%,1200,-20
-,chosennuttso,1184.5009725017178,1,0.0,0.0%,1200,-20
-,HoosierDaddy+4463,1184.4615061667082,1,0.0,0.0%,1200,-20
-,Peppy+6321,1184.3863646018056,20,4.0,20.0%,1262,-9
-,Akayami+8372,1184.3269267601456,1,0.0,0.0%,1200,-20
-,lgtw3450+6602,1184.285679904671,1,0.0,0.0%,1200,-20
-,QuixArtagnan+7824,1184.1344951604265,1,0.0,0.0%,1200,-20
-,DegenerateIan+7146,1184.0683073660493,1,0.0,0.0%,1200,-20
-,Demand+3288,1184.0243838181002,1,0.0,0.0%,1200,-20
-,Clink+5884,1184.0243838181002,1,0.0,0.0%,1200,-20
-,AJIJIi,1183.6446922961093,1,0.0,0.0%,1200,-21
-,FireFox+7079,1183.6421722752686,1,0.0,0.0%,1200,-21
-,FungusMouse+7883,1183.4591830708862,1,0.0,0.0%,1200,-21
-,CroCroCro+9495,1183.4371361687126,1,0.0,0.0%,1200,-21
-,pikeline+9847,1183.3605853623683,1,0.0,0.0%,1200,-21
-,DanielDandaniel+7434,1183.3338428139941,1,0.0,0.0%,1200,-21
-,Wolvane+1704,1183.3227087845466,1,0.0,0.0%,1200,-21
-,micherin+7972,1183.0911183332073,10,1.0,10.0%,1200,-10
-,GAFE15+7357,1182.998988252765,1,0.0,0.0%,1200,-22
-,Lucat+9382,1182.5833984405415,1,0.0,0.0%,1200,-22
-,ForkMaster+8694,1182.3159296535289,1,0.0,0.0%,1200,-22
-,fadingnovel+7335,1182.2465928586507,37,8.0,21.6%,1297,-7
-,catscat+1327,1182.2331237379722,1,0.0,0.0%,1200,-22
-,ZachB+8726,1182.1837055972605,1,0.0,0.0%,1200,-22
-,DelSol+6479,1182.1548078718997,12,2.0,16.7%,1222,-10
-,Sebby+9924,1181.870093242968,23,6.0,26.1%,1291,-14
-,Rachel997,1181.8131038762167,1,0.0,0.0%,1200,-23
-,WWren+25,1181.4059084657206,1,0.0,0.0%,1200,-23
-,Plasma+7413,1181.209988851646,1,0.0,0.0%,1200,-23
-,Actionman2222+4303,1180.1267367261946,1,0.0,0.0%,1200,-24
-,Gibbs+3656,1180.1267367261946,1,0.0,0.0%,1200,-24
-,kurtfisto+6674,1179.2119773201657,1,0.0,0.0%,1200,-25
-,BuckeyeNation+0,1179.0393551481466,1,0.0,0.0%,1200,-25
-,themikeman+4306,1178.6223748837474,1,0.0,0.0%,1200,-26
-,Rabbi+7,1178.2487395318444,2,0.0,0.0%,1200,-12
-,EmbryoticDeth,1177.6139435380521,2,0.0,0.0%,1200,-7
-,MrRiceGuy+5849,1177.567228443005,1,0.0,0.0%,1200,-27
-,BaconBoy+9689,1177.2783670469776,59,12.0,20.3%,1309,+18
-,Cuagodking+3670,1177.0927388691782,2,0.0,0.0%,1200,-12
-,RFMerlo+6470,1176.509307966452,14,3.0,21.4%,1200,-9
-,DanielJeun+8467,1175.112110961383,2,0.0,0.0%,1200,-18
-,StoneOfShame+5048,1174.1734987974219,6,1.0,16.7%,1226,-20
-,HowDoYouDrew+716,1173.506234914252,2,0.0,0.0%,1200,-11
-,benruff+449,1172.624512778689,2,0.0,0.0%,1200,-22
-,goodgamepat+6980,1171.2733397096174,2,0.0,0.0%,1200,-23
-,MoxJet+3716,1170.8982851913681,2,0.0,0.0%,1200,-12
-,Komasan+7739,1170.4993139138185,2,0.0,0.0%,1200,-19
-,ImEpy+9148,1170.3114348535607,2,0.0,0.0%,1200,-14
-,Lante+1268,1170.0759221007916,2,0.0,0.0%,1200,-16
-,Lobster+5525,1169.2270989385013,8,1.0,12.5%,1230,-18
-,byzeke+7830,1168.7709128775125,2,0.0,0.0%,1200,-19
-,PsychologicalBox+5812,1167.5318643344563,2,0.0,0.0%,1200,-21
-,Bjoda+2731,1167.2875721366509,2,0.0,0.0%,1200,-16
-,mouseinabox+992,1167.1032136709698,82,15.0,18.3%,1260,-2
-,BadScra+3199,1166.7332311170317,20,4.0,20.0%,1344,-7
-,Jasiuńcio+3892,1166.6064437388738,12,2.0,16.7%,1241,-7
-,EdacM+9189,1166.5762373889072,3,0.0,0.0%,1200,-15
-,Excitedteapot+2857,1166.553568354502,12,2.0,16.7%,1270,-13
-,Potet+3500,1166.2465732501191,3,0.0,0.0%,1200,-13
-,residentevil+6828,1164.5412188432306,2,0.0,0.0%,1200,-19
-,Yragael+5413,1164.0831244493809,2,0.0,0.0%,1200,-20
-,MOMOGA+5135,1164.0351714827755,2,0.0,0.0%,1200,-17
-,brrrlinguist+929,1164.0314551820172,6,1.0,16.7%,1240,-19
-,OUSlaughter+3653,1163.7927196176238,2,0.0,0.0%,1200,-23
-,FalconBird+7701,1163.7323284909148,2,0.0,0.0%,1200,-18
-,Musicalwoofy+7712,1163.3258483357674,2,0.0,0.0%,1200,-18
-,TheRedViper+1596,1163.2611997308602,3,0.0,0.0%,1200,-11
-,Drinken+3181,1162.9125590519857,7,1.0,14.3%,1200,+64
-,StarhardFishrinse+1675,1162.608953507278,2,0.0,0.0%,1200,-21
-,LHlegend+5313,1162.256949161215,25,5.0,20.0%,1260,-5
-,CptAlex+2928,1162.1500063718945,3,0.0,0.0%,1200,-14
-,Fearteiler+8050,1161.0480543406427,4,0.0,0.0%,1200,-7
-,Marcus+9032,1160.7561649636339,2,0.0,0.0%,1200,-26
-,metalnooze+4817,1160.698248322218,3,0.0,0.0%,1200,-12
-,SSR_Mike+6444,1160.6078558680636,2,0.0,0.0%,1200,-22
-,Cheetah32+6800,1160.5716718218669,2,0.0,0.0%,1200,-17
-,HungryJeff+6786,1160.5141579176639,3,0.0,0.0%,1200,-13
-,Ljaz7+6925,1160.3719098129684,3,0.0,0.0%,1200,-12
-,RexCow+93848049,1160.298575136513,3,0.0,0.0%,1200,-12
-,Biggins96+3792,1159.8265419908992,9,1.0,11.1%,1200,+62
-,MangoBlade11+7548,1159.15175938197,3,0.0,0.0%,1200,-16
-,lumpyprol+3206,1158.0465623707885,46,8.0,17.4%,1280,-5
-,TheSillyBilly+6135,1157.8479950222918,4,0.0,0.0%,1200,-16
-,Hiyoshi+2879,1157.5935321201505,3,0.0,0.0%,1200,-12
-,DanzigMF+6351,1156.989555385748,49,8.0,16.3%,1214,-5
-,Odinius+897,1156.0048579541033,55,10.5,19.1%,1252,-4
-,Baradhas+8593,1155.5713551996628,7,1.0,14.3%,1200,-17
-,Podge0303+8578,1155.3497551678258,24,4.0,16.7%,1200,+31
-,chux88+4717,1155.2735731078212,3,0.0,0.0%,1200,-8
-,Zeldamon+7946,1154.783036340627,3,0.0,0.0%,1200,-12
-,weirdone+8473,1154.7226356077322,3,0.0,0.0%,1200,-16
-,pashatherussian+5688,1154.6347813680482,3,0.0,0.0%,1200,-14
-,HobGungan+2914,1154.3221271728828,85,16.5,19.4%,1244,+16
-,optimusprawn+9866,1153.4050744318079,3,0.0,0.0%,1200,-8
-,FVMLion+1706,1152.7420259381067,20,3.5,17.5%,1241,-7
-,WyvernElement+1816,1152.0139871121041,24,4.0,16.7%,1255,-10
-,Cloudere+8085,1151.5480981638473,3,0.0,0.0%,1200,-19
-,benssoon+802,1151.4829835581859,17,3.0,17.6%,1200,-9
-,MylesMoose+6850,1151.4765363013948,27,5.0,18.5%,1277,-10
-,Alexispc+6921,1150.8429327867968,3,0.0,0.0%,1200,-20
-,BugMuff44+9091,1148.897743841236,6,1.0,16.7%,1259,-21
-,Lambo+7524,1148.4240605039354,4,0.0,0.0%,1200,-10
-,Gabobs+7758,1146.8381328397525,3,0.0,0.0%,1200,-14
-,Riverman+1204,1146.6591141887886,3,0.0,0.0%,1200,-21
-,TheIndustrialRevoloution+3880,1146.4996398914252,4,0.0,0.0%,1200,-11
-,Jerry,1145.4771210569304,3,0.0,0.0%,1200,-20
-,FatBoyyy+6258,1144.812098792298,3,0.0,0.0%,1200,-18
-,McMayo+5829,1144.2380994296518,4,0.0,0.0%,1200,-13
-,RangerEpic+3948,1143.4436243121293,4,0.0,0.0%,1200,-12
-,sleepylabone+1003,1143.4345934785183,5,0.0,0.0%,1200,-14
-,TheFourthJesse+9103,1143.0364169043573,17,2.0,11.8%,1243,-9
-,Blank+7029,1143.027422918589,4,0.0,0.0%,1200,-13
-,darkcat+794,1142.94639155992,18,3.0,16.7%,1247,-7
-,Harriet+1445,1142.1905852348614,4,0.0,0.0%,1200,-12
-,Soluna+2127,1142.1047842069122,4,0.0,0.0%,1200,-9
-,Xman1997+3777,1140.8574996801171,5,0.0,0.0%,1200,-10
-,BoMa85+9812,1140.3807762071583,4,0.0,0.0%,1200,-14
-,CoxyNormus+5176,1140.2875657968652,3,0.0,0.0%,1200,-27
-,Lokfok+5204,1140.0703670012758,4,0.0,0.0%,1200,-22
-,Dumbledore+1135,1139.7169405286081,4,0.0,0.0%,1200,-15
-,NattyKash+316,1139.7027277066054,4,0.0,0.0%,1200,-14
-,marksoz00+1780,1137.9272754628971,9,1.0,11.1%,1223,-9
-,Sharkskln+6071,1135.8871213266104,9,1.0,11.1%,1200,-13
-,Wrestler+3756,1134.481598106302,49,8.0,16.3%,1231,-6
-,Krooter+8646,1133.2501798110338,5,0.0,0.0%,1200,-10
-,NaySmith+3702,1132.6972497402198,4,0.0,0.0%,1200,-22
-,Hadjiya+4475,1131.2599244277958,57,9.0,15.8%,1200,-2
-,Gagneto+8499,1131.1757500293427,13,1.0,7.7%,1200,-6
-,Ironic+3891,1129.3976440922688,5,0.0,0.0%,1200,-10
-,ReoWulf+5368,1127.4424136846521,19,3.0,15.8%,1310,-3
-,Hossain2020+1837,1127.3853069545396,4,0.0,0.0%,1200,-16
-,TempExtremal+1625,1122.973241782949,5,0.0,0.0%,1200,-8
-,mkcy3+8006,1122.0344543447147,16,2.0,12.5%,1243,-4
