Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
-,ImJustExisting+9170,1215.7702297944984,0,0.0,0.0%,1216,0
67,SlickAngel+9821,1213.9022076622446,22,6.0,27.3%,1263,+30
-,Bodnamax+6783,1213.7361535574405,0,0.0,0.0%,1214,0
-,Daz257+7505,1209.8423879392947,5,1.0,20.0%,1210,+62
-,BetterPools+6450,1209.690994295412,4,1.0,25.0%,1267,-12
-,BjarkeHuse+2923,1208.9824655350196,0,0.0,0.0%,1209,0
-,StatzoryTheMad+7951,1208.1759647877898,4,1.0,25.0%,1224,-19
68,Intraceptor+5437,1206.7981279201786,16,3.0,18.8%,1333,-9
-,OceanAir+2476,1205.5824357258866,4,1.0,25.0%,1230,-27
69,LutherStr+1358,1205.1651979062226,12,1.0,8.3%,1351,-6
-,Lambo+7524,1204.3123123792334,2,1.0,50.0%,1217,-15
70,MylesMoose+6850,1204.2258808372699,14,4.0,28.6%,1204,+33
-,ToughHazelnut+1523,1201.555125226568,6,1.0,16.7%,1215,-7
-,Temperz87+4696,1201.549967944682,9,2.0,22.2%,1219,-20
71,ColPop+9146,1200.419842668028,18,4.0,22.2%,1342,-7
-,KyloBot+6508,1200.3585296617282,7,2.0,28.6%,1303,-25
72,pheobii+5175,1200.2093018972962,11,2.0,18.2%,1204,-6
-,Hadjiya+4475,1198.8517983420625,6,2.0,33.3%,1249,-21
-,StoneOfShame+5048,1198.6639113266906,5,1.0,20.0%,1199,+69
-,FamilyTuber+3701,1197.5583647263013,6,1.0,16.7%,1205,-10
-,fbd117+324,1197.3626456267884,12,3.0,25.0%,1309,-3
-,WyvernElement+1816,1195.0796885236325,3,1.0,33.3%,1218,-13
-,sda1611+3493,1193.756919454477,0,0.0,0.0%,1194,0
-,Tagatu+7056,1192.5453357031963,6,1.0,16.7%,1200,-10
-,Axolatal,1192.5179856945117,0,0.0,0.0%,1193,0
-,kamomileTea+4472,1192.5001182347812,1,0.0,0.0%,1200,-10
-,Karcher+6280,1191.9323914181275,4,1.0,25.0%,1242,-19
-,FausDav+5901,1191.8592810652078,0,0.0,0.0%,1192,0
-,deriokle+4319,1191.7637868157017,0,0.0,0.0%,1192,0
-,BaconBoy+9689,1191.6835379747904,6,1.0,16.7%,1199,-9
-,SMenefee+4066,1191.488715645794,0,0.0,0.0%,1191,0
-,LHlegend+5313,1191.1150993602641,3,1.0,33.3%,1220,-18
-,Anton+562,1191.0703101087743,1,0.0,0.0%,1200,-11
-,RiverKawaii+4578,1190.5510543984929,1,0.0,0.0%,1200,-12
-,ExecutedByGromp+3925,1190.495275414019,1,0.0,0.0%,1200,-12
-,Cutoopen+2335,1190.4109233912734,1,0.0,0.0%,1200,-12
-,MisterGume+9687,1190.3253772554217,0,0.0,0.0%,1190,0
-,Olymp+9823,1190.3093137960122,0,0.0,0.0%,1190,0
-,Traestaree+7134,1190.1927537352453,1,0.0,0.0%,1200,-12
-,Oriol+2638,1190.170543803489,1,0.0,0.0%,1214,-26
-,Supersingalong+6545,1190.1160101020344,1,0.0,0.0%,1200,-12
-,Xerof+7582,1190.1146448021823,1,0.0,0.0%,1200,-12
-,tobin+8390,1189.7413582224674,1,0.0,0.0%,1200,-13
-,Yojimbo+9872,1189.7110979591862,1,0.0,0.0%,1200,-13
-,ChusGG+6807,1189.635703503322,0,0.0,0.0%,1190,0
-,Youdge+8117,1189.5811504515746,13,2.0,15.4%,1303,-5
-,GameProfit+8226,1189.4885048583317,0,0.0,0.0%,1189,0
-,halzyen+4113,1189.372549498324,1,0.0,0.0%,1200,-13
-,Mati92+4633,1189.2290269633493,0,0.0,0.0%,1189,0
-,Mariv+2352,1189.0518329399347,1,0.0,0.0%,1200,-13
-,shurgs+6277,1188.970425915199,0,0.0,0.0%,1189,0
-,LittleHalo+9882,1188.5327246060087,1,0.0,0.0%,1200,-14
-,Starcore6+817,1188.4983986056918,1,0.0,0.0%,1200,-14
-,DarkOwl+5198,1188.3993604259067,1,0.0,0.0%,1200,-14
-,CocoMocoMan+3134,1188.3705679405648,1,0.0,0.0%,1200,-14
-,sedlak87+8418,1188.2332090003858,0,0.0,0.0%,1188,0
-,vanillapoppy+9303,1188.0547892886443,0,0.0,0.0%,1188,0
-,secretpaths+8130,1187.997177978153,0,0.0,0.0%,1188,0
-,Shadyferret+9636,1187.7004178831412,0,0.0,0.0%,1188,0
-,Lynxtek+4186,1187.5981974296562,0,0.0,0.0%,1188,0
-,ArionGekkota+7361,1187.5805930843014,1,0.0,0.0%,1200,-15
-,Shuuhey+6535,1187.1955541165878,0,0.0,0.0%,1187,0
-,clp10033+4124,1187.002370442691,0,0.0,0.0%,1187,0
-,LittleHalo+9982,1186.8227703226587,1,0.0,0.0%,1200,-16
-,CWise+6651,1186.6404164330409,1,0.0,0.0%,1200,-16
-,Libitina114+7177,1186.5759319707895,0,0.0,0.0%,1187,0
-,SimulatedBeehive+1517,1186.550606210031,1,0.0,0.0%,1200,-16
-,evancomposer+2898,1186.3708151509911,0,0.0,0.0%,1186,0
-,ChrD99+1022,1186.097696207029,1,0.0,0.0%,1200,-16
-,Akriuss+573,1186.0769517950248,1,0.0,0.0%,1200,-16
-,Rhyno+5128,1185.7757028073463,1,0.0,0.0%,1200,-17
