Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
-,FausDav+5901,1191.7742043262017,5,1.0,20.0%,1239,-8
-,deriokle+4319,1191.6862179506843,1,0.0,0.0%,1200,-13
-,SMenefee+4066,1191.4116422682193,1,0.0,0.0%,1200,-13
-,GameProfit+8226,1190.729290386138,1,0.0,0.0%,1200,-14
-,MisterGume+9687,1190.2586785225853,1,0.0,0.0%,1200,-14
-,Olymp+9823,1190.1849636973805,1,0.0,0.0%,1200,-14
-,IndifferentFish+2547,1190.0324725792489,1,0.0,0.0%,1200,-14
-,ConeMan+3213,1189.952699945658,1,0.0,0.0%,1200,-14
-,bigcathedral+1133,1189.7152290264366,1,0.0,0.0%,1200,-15
-,ChusGG+6807,1189.5671780872008,1,0.0,0.0%,1200,-15
-,GamerTower+410,1189.1837737225248,1,0.0,0.0%,1200,-15
-,shurgs+6277,1188.94192962551,1,0.0,0.0%,1200,-15
-,Mati92+4633,1188.79089310494,5,1.0,20.0%,1239,-14
-,Plush2+8334,1188.4744243036128,1,0.0,0.0%,1200,-16
-,StatzoryTheMad+7951,1188.3948347605335,1,0.0,0.0%,1200,-16
-,secretpaths+8130,1188.298548282027,20,4.0,20.0%,1208,+33
-,sedlak87+8418,1188.1320449519817,1,0.0,0.0%,1200,-16
-,vanillapoppy+9303,1187.9430087199205,1,0.0,0.0%,1200,-16
-,Youdge+8117,1187.695014665241,11,2.0,18.2%,1200,+35
-,Shadyferret+9636,1187.5774566787777,1,0.0,0.0%,1200,-17
-,Lynxtek+4186,1187.4987925798807,1,0.0,0.0%,1200,-17
-,Shuuhey+6535,1187.1447527473474,1,0.0,0.0%,1200,-17
-,clp10033+4124,1186.9654239635731,1,0.0,0.0%,1200,-17
-,Gregoola+1424,1186.9387694971952,1,0.0,0.0%,1200,-17
-,Libitina114+7177,1186.4704099214487,1,0.0,0.0%,1200,-18
-,KyloBot+6508,1186.3826518766048,1,0.0,0.0%,1200,-18
-,evancomposer+2898,1186.269651102587,1,0.0,0.0%,1200,-18
-,oshwott2844+9258,1185.826173618876,1,0.0,0.0%,1200,-19
-,Raineweather05+2319,1185.5886788727373,1,0.0,0.0%,1200,-19
-,FelipeRocha+9451,1185.325416165377,1,0.0,0.0%,1200,-19
-,mysti+7857,1185.2112335317822,1,0.0,0.0%,1200,-19
-,mwcrabtree,1184.9594286378658,1,0.0,0.0%,1200,-19
-,tubaking+4200,1184.8427967220719,1,0.0,0.0%,1200,-20
-,ThoseTeeff+4061,1184.5239663073255,1,0.0,0.0%,1200,-20
-,chosennuttso,1184.3998084533137,1,0.0,0.0%,1200,-20
-,Julien+5506,1184.3998084533137,1,0.0,0.0%,1200,-20
-,Nuttsy+5282,1184.3998084533137,1,0.0,0.0%,1200,-20
-,Peppy+6321,1184.387242965225,20,4.0,20.0%,1262,-9
-,HoosierDaddy+4463,1184.3477586981796,1,0.0,0.0%,1200,-20
-,Pi314+6815,1184.2397838971615,2,0.0,0.0%,1200,-9
-,Akayami+8372,1184.2095331956111,1,0.0,0.0%,1200,-20
-,lgtw3450+6602,1184.1886100478305,1,0.0,0.0%,1200,-20
-,QuixArtagnan+7824,1184.042135893794,1,0.0,0.0%,1200,-20
-,DegenerateIan+7146,1183.9953400614104,1,0.0,0.0%,1200,-20
-,Demand+3288,1183.9350594328564,1,0.0,0.0%,1200,-20
-,Clink+5884,1183.9350594328564,1,0.0,0.0%,1200,-20
-,micherin+7972,1183.9320765788195,10,1.0,10.0%,1200,-10
-,AJIJIi,1183.5844505235934,1,0.0,0.0%,1200,-21
-,FireFox+7079,1183.4928595055778,1,0.0,0.0%,1200,-21
-,CroCroCro+9495,1183.3798145897783,1,0.0,0.0%,1200,-21
-,FungusMouse+7883,1183.3740195322443,1,0.0,0.0%,1200,-21
-,pikeline+9847,1183.2657379251991,1,0.0,0.0%,1200,-21
-,DanielDandaniel+7434,1183.2479298321346,1,0.0,0.0%,1200,-21
-,Wolvane+1704,1183.2215447361425,1,0.0,0.0%,1200,-21
-,GAFE15+7357,1182.9116902379126,1,0.0,0.0%,1200,-21
-,fadingnovel+7335,1182.569385548907,37,8.0,21.6%,1297,-7
-,Lucat+9382,1182.4924469816808,1,0.0,0.0%,1200,-22
-,ForkMaster+8694,1182.215426419427,1,0.0,0.0%,1200,-22
-,catscat+1327,1182.1285349104742,1,0.0,0.0%,1200,-22
-,ZachB+8726,1182.091332474291,1,0.0,0.0%,1200,-22
-,DelSol+6479,1181.9544150283975,12,2.0,16.7%,1222,-10
-,Sebby+9924,1181.740770925147,23,6.0,26.1%,1291,-14
-,Rachel997,1181.723619106878,1,0.0,0.0%,1200,-23
-,WWren+25,1181.2921147685731,1,0.0,0.0%,1200,-23
-,Plasma+7413,1181.1593581838777,1,0.0,0.0%,1200,-23
-,Gibbs+3656,1180.0337593878633,1,0.0,0.0%,1200,-24
-,Actionman2222+4303,1180.0337593878633,1,0.0,0.0%,1200,-24
-,kurtfisto+6674,1179.145201446438,1,0.0,0.0%,1200,-25
-,BuckeyeNation+0,1178.950762358991,1,0.0,0.0%,1200,-25
-,themikeman+4306,1178.5381526024044,1,0.0,0.0%,1200,-26
-,Rabbi+7,1178.2035840314563,2,0.0,0.0%,1200,-12
-,MrRiceGuy+5849,1177.4256499182939,1,0.0,0.0%,1200,-27
-,EmbryoticDeth,1177.3478968050229,2,0.0,0.0%,1200,-7
-,BaconBoy+9689,1177.3136432862705,59,12.0,20.3%,1309,+18
-,Cuagodking+3670,1176.9948228571927,2,0.0,0.0%,1200,-12
-,RFMerlo+6470,1176.6487170936718,14,3.0,21.4%,1200,-9
-,DanielJeun+8467,1175.0320515468122,2,0.0,0.0%,1200,-18
-,StoneOfShame+5048,1174.1799414728544,6,1.0,16.7%,1226,-20
-,HowDoYouDrew+716,1173.4311981812825,2,0.0,0.0%,1200,-11
-,benruff+449,1172.5342647297039,2,0.0,0.0%,1200,-22
-,ImEpy+9148,1171.9587753242859,2,0.0,0.0%,1200,-12
-,goodgamepat+6980,1170.9138728373434,2,0.0,0.0%,1200,-23
-,MoxJet+3716,1170.8417019275305,2,0.0,0.0%,1200,-11
-,Lante+1268,1170.029674821602,2,0.0,0.0%,1200,-16
-,Komasan+7739,1169.8839442351134,2,0.0,0.0%,1200,-19
-,Lobster+5525,1169.169642938072,8,1.0,12.5%,1230,-18
-,byzeke+7830,1168.6697488291084,2,0.0,0.0%,1200,-19
-,PsychologicalBox+5812,1167.4315122479472,2,0.0,0.0%,1200,-21
-,EdacM+9189,1167.3301041831812,3,0.0,0.0%,1200,-15
-,mouseinabox+992,1167.3057027368645,82,15.0,18.3%,1260,-2
-,Bjoda+2731,1167.2008863139768,2,0.0,0.0%,1200,-16
-,Excitedteapot+2857,1166.7362157239904,12,2.0,16.7%,1270,-13
-,BadScra+3199,1166.6867737039981,20,4.0,20.0%,1344,-7
-,Jasiuńcio+3892,1166.637524738794,12,2.0,16.7%,1241,-7
-,Potet+3500,1166.1381673986725,3,0.0,0.0%,1200,-13
-,residentevil+6828,1164.4400419055357,2,0.0,0.0%,1200,-19
-,Yragael+5413,1164.0833806161256,2,0.0,0.0%,1200,-20
-,MOMOGA+5135,1163.940702721088,2,0.0,0.0%,1200,-17
-,brrrlinguist+929,1163.836464753637,6,1.0,16.7%,1240,-19
-,OUSlaughter+3653,1163.7072358835687,2,0.0,0.0%,1200,-23
-,FalconBird+7701,1163.530973864676,2,0.0,0.0%,1200,-18
-,Drinken+3181,1163.478751704225,7,1.0,14.3%,1200,+64
